Date,Open,Close,High,Low,Volume,MA1,MA2
2008-07-01,117.5000,119.2700,119.3600,116.6000,10071849,124.7150,114.3990
2008-07-02,118.4100,119.1000,120.5500,118.1200,8095876,124.6240,114.4220
2008-07-03,119.9500,119.5400,120.7800,117.8900,6118028,124.5430,114.4360
2008-07-07,119.6200,121.5000,122.6400,119.6200,9136656,124.4890,114.4610
2008-07-08,120.5500,123.8800,123.9900,120.5500,9814364,124.5050,114.4960
2008-07-09,124.2100,120.4000,124.5000,120.4000,9510791,124.4790,114.5140
2008-07-10,120.6600,123.1800,123.5400,120.6600,10054086,124.4860,114.5480
2008-07-11,121.8000,122.1200,123.7400,120.5700,8844360,124.5140,114.5770
2008-07-14,123.5100,121.5400,124.2500,121.2400,8319537,124.4730,114.5980
2008-07-15,121.0000,123.2000,124.5000,119.9000,10716443,124.4730,114.6250
2008-07-16,122.8100,125.9400,126.8900,122.2500,9899891,124.5510,114.6660
2008-07-17,126.3900,126.5200,126.9600,124.0000,12304956,124.6250,114.7030
2008-07-18,125.8100,129.8900,130.0000,125.4200,18321467,124.7400,114.7610
2008-07-21,129.8300,128.6600,129.9000,127.6400,7782330,124.8150,114.8220
2008-07-22,127.5000,130.0000,130.0000,127.2600,11429052,124.9340,114.8940
2008-07-23,129.7800,129.5200,130.3300,128.2900,10231122,125.0200,114.9600
2008-07-24,129.0600,130.0000,130.9300,128.8000,8950184,125.0880,115.0210
2008-07-25,129.0000,128.5300,129.9000,128.0000,7567157,125.1080,115.0720
2008-07-28,127.6900,126.2500,128.4400,126.1300,6096849,125.0640,115.1100
2008-07-29,126.5400,127.6600,128.1680,126.2500,5981140,125.0610,115.1580
2008-07-30,128.1200,128.8600,129.0000,127.0900,5827510,125.1080,115.2140
2008-07-31,128.1000,127.9800,129.5000,127.7400,5857704,125.1640,115.2630
2008-08-01,128.5200,126.6400,129.3000,126.2800,4940128,125.2250,115.2990
2008-08-04,126.7700,127.5600,128.1000,126.2500,5996673,125.2820,115.3580
2008-08-05,128.2000,128.8700,128.9000,127.0800,6970858,125.3750,115.4280
2008-08-06,128.4500,129.1600,129.5000,127.7500,6256224,125.4120,115.5120
2008-08-07,128.3000,129.0500,129.9700,127.9000,6633955,125.4020,115.5910
2008-08-08,128.5000,128.8100,129.8800,127.6300,8562640,125.3840,115.6610
2008-08-11,128.4300,126.6000,128.4300,125.7500,7491019,125.3280,115.7300
2008-08-12,126.0100,125.2200,126.5000,124.4000,7002065,125.2850,115.7920
2008-08-13,125.0000,125.8000,126.9900,124.7500,5858176,125.2440,115.8520
